UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
12658900,214963,12/27/2012,11:10,1,NY,BUS,,,,,,,,,,,,,,,,,Unspecified,
19140179,4229097,10/24/2019,10:30,7a3f6333-acd4-4a28-a7b9-a3577c62d847,NY,Sedan,FORD -CAR/SUV,,2002,South,1,M,Licensed,NY,Going Straight Ahead,No Damage,No Damage,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19138658,4229052,10/24/2019,12:04,193ec6fd-681a-408f-a889-b3462b7c75f0,NY,Station Wagon/Sport Utility Vehicle,LINC -CAR/SUV,,2013,South,1,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
14637094,3185667,03/13/2015,0:58,1,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
17192960,3461036,06/13/2016,0:00,398253,,,,,,,,,,,,,,,,,Unspecified,,,
19140178,4229097,10/24/2019,10:30,d7d94e00-3355-4312-a70c-0c861952f91b,NY,Sedan,BMW -CAR/SUV,,2020,South,3,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,No Damage,No Damage,Other,N,,Unsafe Lane Changing,Unspecified
19138640,4229044,10/24/2019,20:40,05789133-a014-474f-a45f-20d6f6b58002,NY,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2018,East,1,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,,,,N,,Passing or Lane Usage Improper,Unspecified
11056089,133532,09/25/2013,16:00,2,NY,TAXI,,,,,,,,,,,,,,,,,Unspecified,
17199379,3518403,09/10/2016,19:20,773609,NJ,Station Wagon/Sport Utility Vehicle,MERZ -CAR/SUV,,2005,Unknown,1,F,Licensed,NJ,Parked,Left Rear Bumper,Left Rear Bumper,,,,N,,Unspecified,Unspecified
14785714,3257442,07/12/2015,22:40,2,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
14602717,3181111,03/06/2015,9:30,2,NY,UNKNOWN,,,,,,,,,Passing,,,,,,,,Other Vehicular,
17417712,3539215,10/13/2016,9:40,924620,NY,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,2008,West,1,M,Licensed,NY,Merging,Right Front Quarter Panel,Right Front Quarter Panel,,,,N,,Failure to Yield Right-of-Way,Unsafe Lane Changing
14891978,3309808,10/06/2015,10:37,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
19139531,4228730,10/24/2019,12:30,fb5166b9-9bea-4b61-b505-bafcced4757c,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2016,East,0,F,Licensed,NY,Making Left Turn,Center Front End,Left Front Bumper,,,,N,,Unspecified,Unspecified
19139010,4228870,10/24/2019,12:50,a0b7f5e0-4dc9-4c1c-83ce-036198ba1ad5,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2013,South,0,,,,Parked,Left Rear Bumper,Left Rear Bumper,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
13226944,238938,07/30/2012,17:10,1,IL,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
11622876,161377,02/28/2013,6:31,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
10671059,307936,03/18/2014,15:45,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17028837,3453992,05/31/2016,16:33,341990,NY,4 dr sedan,HYUN -CAR/SUV,,2012,North,2,M,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,,Driver Inattention/Distraction,Unspecified
14088768,281818,04/12/2013,19:41,2,NJ,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
13654653,263067,10/28/2013,17:15,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
17222329,3495015,08/06/2016,5:15,616085,NY,Sedan,HYUN -CAR/SUV,,2012,East,1,M,Licensed,NY,Stopped in Traffic,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,,Unspecified,Unspecified
14854970,3291248,09/06/2015,12:51,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
16945532,3428745,03/21/2016,7:30,57510,NY,4 dr sedan,HOND -CAR/SUV,HOND CIV,2014,South,1,F,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Driver Inattention/Distraction,Unspecified
19139686,4228978,10/24/2019,18:10,d9e7303b-5e39-4bf2-9009-3309034de5b1,NY,Station Wagon/Sport Utility Vehicle,VOLV -CAR/SUV,,2019,South,1,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,,,,N,,Unspecified,Unspecified
19139377,4228636,10/24/2019,8:05,337c0bb7-4bee-4b19-a2c9-031d5724fc05,NY,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2014,North,1,M,Licensed,NY,Going Straight Ahead,Right Rear Quarter Panel,Right Rear Quarter Panel,Right Rear Bumper,,,N,,Reaction to Uninvolved Vehicle,Unspecified
14736201,3236354,06/06/2015,11:30,1,NY,PASSENGER VEHICLE,,,,,,,,,Starting in Traffic,,,,,,,,Failure to Yield Right-of-Way,
17157088,3444592,05/12/2016,19:00,984058,NY,4 dr sedan,HYUN -CAR/SUV,HYUN ZZZ,2016,East,2,M,Licensed,PA,Going Straight Ahead,Center Back End,Center Back End,,,,N,,Unspecified,Unspecified
19138906,4228923,10/24/2019,17:00,33d6f0ba-70d8-48bf-b6e9-37dedf0c850b,NY,Sedan,HOND -CAR/SUV,,2014,East,1,,,,Making U Turn,Center Back End,No Damage,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
13977604,3102077,07/31/2012,18:10,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
14518873,3146342,01/01/2015,15:22,1,NY,PASSENGER VEHICLE,,,,,,,,,Stopped in Traffic,,,,,,,,Unspecified,
12250032,194413,09/29/2012,3:12,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
10611077,113448,02/24/2014,17:56,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
19140004,4229100,10/24/2019,0:00,ed592e37-b4e9-4448-95bd-24c4ea5fc12a,NY,Station Wagon/Sport Utility Vehicle,SUBA -CAR/SUV,,2018,West,0,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,Center Front End,,,,N,,Driver Inattention/Distraction,Unspecified
19140709,4229517,10/19/2019,13:30,3f5f539a-70e8-42ac-acb4-ba941b20943b,NY,Station Wagon/Sport Utility Vehicle,STRN -CAR/SUV,,2009,West,1,M,Licensed,NY,Going Straight Ahead,Left Side Doors,Left Side Doors,,,,N,,View Obstructed/Limited,Unspecified
16960549,3427002,03/31/2016,14:40,70258,NY,4 dr sedan,CHEV -CAR/SUV,,2011,North,1,M,Licensed,NY,Slowing or Stopping,Left Front Bumper,Left Front Bumper,,,,N,,Unspecified,Unspecified
19139158,4228884,10/24/2019,14:07,3d42d1b4-3765-42e0-8840-1e7a20d408bd,NY,Bus,NOVA,,2019,North,1,M,Licensed,NJ,Going Straight Ahead,Left Front Bumper,Left Front Bumper,,,,N,,Unspecified,Unspecified
11753650,2968477,03/03/2014,9:30,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19139186,4228975,10/24/2019,11:50,76b6a16b-a840-417d-a5e7-4ca2e4edbe3c,NY,Sedan,HOND -CAR/SUV,,2019,Southwest,1,,,,Going Straight Ahead,Right Front Quarter Panel,Right Front Quarter Panel,No Damage,No Damage,No Damage,N,,Passing or Lane Usage Improper,Unsafe Lane Changing
13534111,3065983,12/28/2013,19:00,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19138723,4229032,10/24/2019,22:48,a98de86f-2768-4bca-ad85-195665459414,NY,Sedan,TOYT -CAR/SUV,,2012,West,1,M,Licensed,NY,Passing,Left Front Bumper,Left Front Bumper,Left Front Quarter Panel,,,N,,Passing Too Closely,Passing or Lane Usage Improper
17148493,3460288,06/10/2016,20:00,385985,NY,Bus,VANHO,,2000,Southeast,3,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,,Backing Unsafely,Unspecified
19139521,4228983,10/24/2019,7:00,8bcd92e5-d957-44fb-ace7-67f419d30a96,TX,Sedan,HYUN -CAR/SUV,,2010,East,1,M,Licensed,NY,Merging,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,,Following Too Closely,Unspecified
14711103,3225767,05/22/2015,8:12,2,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
14085773,280506,10/19/2012,8:56,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
14706955,3223978,05/18/2015,14:30,2,NJ,PASSENGER VEHICLE,,,,,,,,,Making Left Turn,,,,,,,,Lost Consciousness,
19140216,4229228,10/24/2019,20:59,3b3de7dd-dee0-4010-b351-454d8902689e,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2009,North,1,M,Licensed,FL,Going Straight Ahead,Left Front Bumper,Left Front Quarter Panel,,,,N,,Unspecified,Unspecified
9349147,52530,08/08/2012,5:28,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19139607,4228908,10/24/2019,20:12,f64e8247-8398-4b12-97b5-b558e128acad,NY,Station Wagon/Sport Utility Vehicle,HYUN -CAR/SUV,,2019,South,1,M,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Side Doors,,,N,,Unspecified,Unspecified
19141100,4221934,10/12/2019,14:00,b230183d-d272-4e45-b98c-7bb20da57911,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2015,West,2,F,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,,Unspecified,Unspecified
9133174,1011061,08/19/2014,18:50,2,NY,BUS,,,,,,,,,Going Straight Ahead,,,,,,,,Driver Inattention/Distraction,
9134777,2812954,10/23/2014,15:25,1,NY,TAXI,,,,,,,,,Merging,,,,,,,,Lost Consciousness,
11165037,139623,10/29/2013,12:40,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17243843,3511254,08/29/2016,17:00,736613,MD,Sedan,TOYT -CAR/SUV,,2007,North,1,M,Licensed,MD,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Center Front End,Right Front Bumper,,N,,Unspecified,Unspecified
12543122,210249,02/14/2013,17:30,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19140304,4229334,10/24/2019,8:20,ecf7d271-5271-43aa-8020-085972a0bd35,NY,Sedan,MITS -CAR/SUV,,2014,East,1,F,Licensed,NY,Merging,Right Front Quarter Panel,Right Front Quarter Panel,,,,N,,Unsafe Lane Changing,Unspecified
9717900,70563,10/27/2012,16:08,2,CA,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17374304,3580451,12/13/2016,23:50,1258671,IL,Sedan,KW -CAR/SUV,,2017,North,1,M,Licensed,NJ,Going Straight Ahead,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,,Unspecified,Unspecified
9396178,55555,07/03/2012,0:12,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
12459407,207364,10/07/2013,18:24,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Driver Inattention/Distraction,
13436244,1032019,09/30/2014,11:35,1,NY,PASSENGER VEHICLE,,,,,,,,,Slowing or Stopping,,,,,,,,Unspecified,
14977963,3352963,12/08/2015,19:30,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Making Left Turn,,,,,,,,Failure to Yield Right-of-Way,
19140732,4229527,10/24/2019,20:45,6b070545-d55f-4b37-805c-082028178390,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2007,South,0,,,,Parked,Left Front Quarter Panel,Left Front Quarter Panel,Left Front Bumper,,,N,,Unspecified,Unspecified
9846871,346589,06/04/2014,11:00,2,NY,PASSENGER VEHICLE,,,,,,,,,Starting from Parking,,,,,,,,Unspecified,
12467721,2821153,11/09/2014,0:15,2,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
8711103,1031553,09/30/2014,9:00,2,NY,MOTORCYCLE,,,,,,,,,Slowing or Stopping,,,,,,,,Lost Consciousness,
12962970,232134,11/15/2013,9:10,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
14790506,3259584,07/15/2015,16:00,2,NY,UNKNOWN,,,,,,,,,Making Left Turn,,,,,,,,Prescription Medication,
17160597,3460740,06/12/2016,17:50,392273,NY,Taxi,TOYT -CAR/SUV,,2015,East,4,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,Right Rear Quarter Panel,,,N,,Unspecified,Unspecified
10228163,94662,02/01/2014,7:00,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19138927,4228899,10/24/2019,16:00,bcf24d4c-9ac6-4729-b059-66973520f0cb,NY,Station Wagon/Sport Utility Vehicle,LEXS -CAR/SUV,,2020,Northeast,1,M,Licensed,NY,Other*,Left Front Bumper,Left Front Bumper,Left Front Quarter Panel,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
10062798,1015472,08/27/2014,9:55,1,NY,LARGE COM VEH(6 OR MORE TIRES),,,,,,,,,Changing Lanes,,,,,,,,Turning Improperly,
10957127,125877,07/31/2012,13:50,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Backing Unsafely,
10532001,1029760,09/28/2014,11:36,1,NY,PASSENGER VEHICLE,,,,,,,,,Backing,,,,,,,,Unspecified,
14888066,3307822,10/02/2015,14:15,1,NY,PICK-UP TRUCK,,,,,,,,,Making Right Turn,,,,,,,,Unspecified,
19140706,4224138,10/14/2019,9:00,8c008487-4a15-4fc7-af24-ecd8e2309145,NY,Station Wagon/Sport Utility Vehicle,MNNI -CAR/SUV,,2017,West,0,,,,Parked,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,,Unspecified,Unspecified
19139579,4228864,10/24/2019,12:13,fc713b8b-71ef-44ae-86c2-0d82833fc6ac,NY,Pick-up Truck,VOLK -CAR/SUV,,2012,East,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Left Side Doors,Left Front Quarter Panel,Left Rear Quarter Panel,Left Front Bumper,N,,Unspecified,Unspecified
14578877,3171407,02/18/2015,18:30,2,NY,OTHER,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
19139019,4229014,10/24/2019,19:54,ddaeaa8d-bc26-4050-a995-6a2d4c82c0a9,NY,Sedan,LEXS -CAR/SUV,,2017,West,1,M,Permit,NY,Making U Turn,Left Front Bumper,Left Front Bumper,No Damage,No Damage,No Damage,N,,Driver Inexperience,Turning Improperly
17387522,3560734,11/15/2016,8:10,1130901,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2016,North,1,F,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Driver Inattention/Distraction,Driver Inattention/Distraction
14892129,3309884,10/06/2015,17:30,1,NY,VAN,,,,,,,,,Going Straight Ahead,,,,,,,,Other Vehicular,
19139713,4228751,10/24/2019,13:41,68d9c966-173b-44f6-ae6d-420ff449e0b6,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2018,Northwest,2,M,Licensed,NY,Making Right Turn,Left Front Bumper,Left Front Bumper,Center Front End,Left Front Quarter Panel,No Damage,N,,Driver Inattention/Distraction,Unspecified
8699471,17309,09/29/2012,13:45,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Traffic Control Disregarded,
17202048,3457385,06/07/2016,12:53,370609,NY,Station Wagon/Sport Utility Vehicle,HYUN -CAR/SUV,,2013,South,1,M,Licensed,NY,Going Straight Ahead,Left Rear Bumper,Center Back End,Right Rear Bumper,,,N,,Unspecified,Unspecified
19139533,4228728,10/24/2019,13:00,41f8d605-da30-4237-addf-4f68ac65f7bd,NC,Sedan,NISS -CAR/SUV,,2007,East,2,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,Right Front Quarter Panel,,,,N,,Unsafe Speed,Unspecified
17195183,3530231,09/30/2016,3:20,864046,NY,Sedan,TOYT -CAR/SUV,,2017,South,1,M,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Bumper,,,,N,,Unspecified,Unspecified
10532087,1034683,10/06/2014,19:00,2,NY,BICYCLE,,,,,,,,,Passing,,,,,,,,Lost Consciousness,
13534977,259201,02/15/2014,18:35,2,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,
14854760,3291145,09/04/2015,10:00,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Turning Improperly,
13753519,267238,11/12/2013,11:50,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19138513,4228698,10/24/2019,12:00,2dfe4dee-cc39-4ed6-b982-06ac7c817292,NJ,Flat Bed,MACK-TRUCK/BUS,,2004,North,1,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,No Damage,No Damage,,,N,,Passing Too Closely,Unspecified
14908950,3318313,10/15/2015,12:20,1,NY,SMALL COM VEH(4 TIRES),,,,,,,,,Parked,,,,,,,,Unspecified,
15024609,3376467,01/24/2016,18:00,2,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,
19139674,4228968,10/24/2019,9:00,d7a30ad6-f06b-4927-95ab-a96d3c54312d,,,,,,Unknown,,,,,,Other,Other,,,,Unspecified,,Passing Too Closely,Unspecified
19138896,4228919,10/24/2019,7:52,f7df4102-d78c-4e7b-9d1a-a036ec7cb603,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2018,West,1,M,Licensed,NY,Slowing or Stopping,Center Back End,Center Back End,Right Rear Bumper,Left Rear Bumper,,N,,Unspecified,Unspecified
19140723,4229525,10/23/2019,14:56,5041ae43-0e92-4cc1-930e-c4290ca33a75,NY,Convertible,KW -CAR/SUV,,2012,East,1,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Center Front End,Right Front Bumper,,Unspecified,,Unspecified,Unspecified
17301763,3499345,08/12/2016,22:10,647364,NY,Sedan,BMW -CAR/SUV,,2002,Southwest,1,M,Licensed,NY,Going Straight Ahead,Left Rear Bumper,Left Rear Bumper,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
11740436,164374,09/18/2012,10:50,1,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,
19138732,4229056,10/24/2019,19:04,c7384151-f819-4ddf-a3b5-c545f80d92b2,NY,Sedan,NISS -CAR/SUV,,2009,North,1,M,Licensed,NY,Stopped in Traffic,Center Back End,Right Rear Bumper,Left Rear Bumper,,,N,,Unspecified,Unspecified
17407805,3588823,12/28/2016,8:05,1259354,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2016,East,1,F,Licensed,NY,Parked,Left Front Bumper,Center Front End,Center Front End,,,N,,Unspecified,Unspecified
19139706,4228760,10/24/2019,8:30,7e2d2828-2426-4c2c-bff5-f765246c3c89,NY,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2018,East,0,,,,Parked,Left Rear Bumper,Left Rear Bumper,Right Rear Quarter Panel,,,N,,Unspecified,Unspecified
10872608,123541,04/26/2013,16:30,1,PA,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
13532151,258074,09/14/2013,19:00,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
17240338,3537934,10/11/2016,13:45,916643,NY,Station Wagon/Sport Utility Vehicle,DODG -CAR/SUV,,2011,North,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
14814350,3271212,07/24/2015,13:10,2,NY,SMALL COM VEH(4 TIRES),,,,,,,,,Going Straight Ahead,,,,,,,,,
13233410,241620,03/26/2013,18:08,1,NJ,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
14872536,3300039,09/16/2015,23:25,3,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,
12970613,2828792,11/22/2014,21:30,1,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
15055054,3391875,02/19/2016,19:30,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
8884788,28916,05/05/2013,15:00,2,NY,PICK-UP TRUCK,,,,,,,,,,,,,,,,,Unspecified,
17235620,3505081,08/22/2016,10:15,686945,NY,Pallet,INTL-TRUCK/BUS,,2012,East,0,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19140442,4229132,10/24/2019,1:00,6439f6bd-c483-42c3-927c-710570da9f68,NJ,Sedan,HOND -CAR/SUV,,2016,East,1,F,Licensed,NJ,Going Straight Ahead,Left Front Bumper,Center Front End,Right Front Bumper,Right Front Quarter Panel,,N,,Unspecified,Unspecified
19139179,4229064,10/24/2019,16:00,e0c30946-0193-4726-9702-b56852cc433f,NY,Taxi,TOYT -CAR/SUV,,2017,South,1,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Quarter Panel,Left Front Bumper,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
9280402,48498,05/08/2013,18:15,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
16942273,4022015,03/22/2016,13:10,27041,NY,4 dr sedan,BUIC -CAR/SUV,BUIC ZZZ,2005,North,1,,,,Making Left Turn,Right Front Quarter Panel,Right Front Quarter Panel,,,,N,,Passing or Lane Usage Improper,Failure to Yield Right-of-Way
14865953,3296715,09/11/2015,22:50,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
19140644,4229502,10/20/2019,16:10,f71ef9fb-6647-4b68-8ee3-1cc62fff6697,NY,Taxi,TOYT -CAR/SUV,,2019,North,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Right Rear Bumper,Left Rear Bumper,Center Back End,,N,,Unspecified,Unspecified
16933844,3410204,03/16/2016,16:01,152616,NY,Pick-up Truck,MACK COMMERCIAL,,1989,West,1,M,Licensed,NY,Going Straight Ahead,Other,Other,Other,,,N,,Other Vehicular,Unspecified
9279164,2848776,03/26/2013,7:25,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Driver Inattention/Distraction,
19139711,4228750,10/24/2019,12:22,68be3940-c769-4f20-bc01-b5f800066a96,NY,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,2018,East,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,,,,Unspecified,,Unspecified,Unspecified
14491258,3134726,12/11/2014,9:10,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Physical Disability,
19139439,4229019,10/24/2019,23:44,2da709f6-df92-4108-a815-91c7f9166e37,NY,Sedan,TOYT -CAR/SUV,,2011,South,0,,,,Parked,Center Back End,Center Back End,Left Rear Bumper,Right Rear Bumper,Roof,N,,Unspecified,Unspecified
8790479,25840,02/01/2014,1:40,1,NH,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Other Electronic Device,
19138984,4229042,10/24/2019,17:14,7bbea3c7-268c-464c-918b-a53283a630ca,NY,Sedan,SMRT -CAR/SUV,,2017,North,2,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Brakes Defective,Unspecified
14218205,293057,03/01/2014,12:25,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Passenger Distraction,
19693635,4322428,06/22/2020,15:37,63b1633c-fba4-4c6d-aff4-8dfea98db833,,Sedan,,,,North,1,,,,Other*,Other,Other,Other,Other,Other,N,,Unspecified,Unspecified
19138877,4228623,10/24/2019,9:14,34408fd8-c806-451c-9532-8b71df8e10f8,NJ,Sedan,HOND -CAR/SUV,,2017,Northwest,1,M,Licensed,NJ,Making Right Turn,Right Front Bumper,Right Front Bumper,No Damage,No Damage,No Damage,N,,Following Too Closely,Unspecified
19138485,4228694,10/24/2019,9:07,59115a0d-8aea-4126-8207-507b2c54710a,NJ,Station Wagon/Sport Utility Vehicle,KIA -CAR/SUV,,2018,East,1,F,Licensed,NJ,Going Straight Ahead,Center Front End,No Damage,No Damage,No Damage,No Damage,N,,Following Too Closely,Glare
12958930,230372,04/25/2013,23:30,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17355188,3481604,07/16/2016,15:20,525545,NY,4 dr sedan,NISS -CAR/SUV,,2009,South,4,M,Licensed,NY,Stopped in Traffic,Right Rear Bumper,Right Rear Bumper,Center Back End,,,N,,Unspecified,Unspecified
15041840,3385203,02/07/2016,1:50,1,NY,LIVERY VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
14608346,3183488,03/10/2015,22:00,1,NY,OTHER,,,,,,,,,Parked,,,,,,,,Unspecified,
19140133,4229120,10/24/2019,8:00,a8eb9b10-ef51-48a0-b965-de8ed160c5d2,MI,Pick-up Truck,VOLV -CAR/SUV,,2017,Unknown,1,M,Licensed,PA,Making Left Turn,Left Side Doors,No Damage,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
13755660,307249,03/12/2014,15:15,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
19139584,4228862,10/24/2019,13:45,ad936ff6-e4ab-4cbb-83d3-fc739e006f5c,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2015,South,1,F,Licensed,NY,Going Straight Ahead,Right Front Bumper,Right Front Bumper,,,,N,,Passing or Lane Usage Improper,Passing Too Closely
14533235,3152604,01/14/2015,19:45,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Making Left Turn,,,,,,,,Other Vehicular,
17276513,3521185,09/13/2016,22:30,789071,,,,,,,,,,,,,,,,,Unspecified,PASSENGER FRONT SIDE DAMAGED,,
10056584,87084,06/11/2013,21:45,2,TN,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Failure to Yield Right-of-Way,
19138662,4229055,10/24/2019,15:09,cecd450e-4f73-4330-9838-85967dec76f8,NY,Sedan,NISS -CAR/SUV,,2019,South,1,M,Licensed,NY,Starting from Parking,Left Front Quarter Panel,Left Front Quarter Panel,Left Front Bumper,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
10058521,87812,10/21/2013,12:44,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Driver Inattention/Distraction,
